p,prot_overhead,nonprot_overhead,rand_overhead,r2n_overhead
0.01020408163265306,0.006823499696908466,0.006823499696908466,0.06658360683637021,0.13538226286725424
0.02,0.013374059405940593,0.013374059405940593,0.07304200247185214,0.14041096361488
0.03,0.02333949815479086,0.02006128972180811,0.07928566069061253,0.1455445829669151
0.039999999999999994,0.031472871287128716,0.026748118811881185,0.08532596286789172,0.1506778943079493
0.049999999999999996,0.036898097896209375,0.033435148514851486,0.09211824009561449,0.15581135965448398
0.06,0.04595589764184627,0.040123783169148546,0.0967442643841108,0.16094605708198503
0.06999999999999999,0.050315189026778076,0.04681154849821698,0.09888087728688001,0.1660800871502647
0.07999999999999999,0.054672475247524756,0.05349623762376237,0.1093893292045254,0.17121175569408792
0.09,0.059031679425705155,0.06018386916542432,0.1143919523475885,0.17634568305712392
0.09999999999999999,0.063390099009901,0.06687029702970297,0.12423210148175312,0.18147868638715725
0.10999999999999999,0.06775370606367567,0.07356468320099337,0.12987938660630519,0.18661779911031076
0.11999999999999998,0.07206739273930653,0.08024756633829709,0.135231942505097,0.19174808124215936
0.12999999999999998,0.07747178220258419,0.08693486353315519,0.1386837637462635,0.19688175193552174
0.13999999999999999,0.08185323693976444,0.09362965139975211,0.14374789399071558,0.20202117303010886
0.14999999999999997,0.08619661318289268,0.10031547709226367,0.1575245273580041,0.2071537140879471
0.15999999999999998,0.09053425470942157,0.10699247524752474,0.15998576484808974,0.21227947846636513
0.16999999999999998,0.09488284443272575,0.11368632613006284,0.16171671943011715,0.21741818026174023
0.17999999999999997,0.09923039180827997,0.1203785725107164,0.17675347995623422,0.22255565032117441
0.18999999999999997,0.10356920620153068,0.12705737607771797,0.17847922026165314,0.22768280066900154
0.19999999999999998,0.1079108883727879,0.13374059405940594,0.18326774504610954,0.23281333985250377
0.20999999999999996,0.11227238327464104,0.14045431008129167,0.1963247361516473,0.23796729161819072
0.21999999999999997,0.11660876330879634,0.14712936640198673,0.1947499330668918,0.24309156529881076
0.22999999999999998,0.11861786880321341,0.1538309110414147,0.20013833202199138,0.24823617339879836
0.23999999999999996,0.12230491450607814,0.16051439517451505,0.20755313597598504,0.2533669169000789
0.24999999999999997,0.1260970269866493,0.1671757425742574,0.2126890321748224,0.25848066658517704
0.25999999999999995,0.12990771882026322,0.17386972706631038,0.21662767358186483,0.26361947094923277
0.26999999999999996,0.13373002458292524,0.18058411296166071,0.23415212137464167,0.2687739369600136
0.27999999999999997,0.13753001716329227,0.18725930279950423,0.2336553165447884,0.27389831313840696
0.29,0.14013650584502177,0.1939393765362615,0.24519404584324261,0.279026438563767
0.29999999999999993,0.14384714660196005,0.20063095418452734,0.25029172486983453,0.2841633952540835
0.30999999999999994,0.14757288505192753,0.2073497582316371,0.2591787282374519,0.28932125296939687
0.31999999999999995,0.15125225875673987,0.21398495049504948,0.2667596262342284,0.2944149240109196
0.32999999999999996,0.15497261558450187,0.22069404960298009,0.27319322294043363,0.2995653314873108
0.33999999999999997,0.15867606139677945,0.22737265226012568,0.27968528269242776,0.30469232760166975
0.35,0.16238310472478085,0.23405774249108494,0.282252620131448,0.3098243040640807
0.35999999999999993,0.16612212231061416,0.2408004934450953,0.2842307281071092,0.31500054522050186
0.36999999999999994,0.16982853419627494,0.24748444496559202,0.2943059917427259,0.3201316475233893
0.37999999999999995,0.17401921840480009,0.25416304458267946,0.2974603827135251,0.32525864130397164
0.38999999999999996,0.17407867931878993,0.26080459059946554,0.308237575601708,0.33035718996294383
0.39999999999999997,0.17761276127612763,0.2674811881188119,0.3127113094025452,0.33548264678319684
0.4099999999999999,0.1781151766718743,0.2741709595313775,0.31642961628858435,0.340618216871571
0.41999999999999993,0.18159527878298776,0.28096763457858387,0.33213006304261505,0.3458358542047793
0.42999999999999994,0.1836497715880708,0.287614180772916,0.32821093678463825,0.3509382413749141
0.43999999999999995,0.18590981044287702,0.2943234904476363,0.3174634011610168,0.3560888104981599
0.44999999999999996,0.1890264827118331,0.30094643127679105,0.35107061463999967,0.36117307642021995
0.4599999999999999,0.1946888109893523,0.3077326140345281,0.34967416132510515,0.36638265908539347
0.4699999999999999,0.19780284829054046,0.3143878562750492,0.35826169180326767,0.37149172199255137
0.4799999999999999,0.20091019069427674,0.3210287903490301,0.3431486926511917,0.3765898008783471
0.48999999999999994,0.20407641889824424,0.32779557367501455,0.37876178503834407,0.38178449108527407
0.49999999999999994,0.20714397859539038,0.3343514851485148,0.3632806163332382,0.3868173002485433
0.5099999999999999,0.21033674481078746,0.3411749848454233,0.37684022433485476,0.3920555301939869
0.5199999999999999,0.2134083087725579,0.34773945413262075,0.39393417178238693,0.39709490897665484
0.5299999999999999,0.21660039009019844,0.3545614900832607,0.39642211229619617,0.40233201524072126
0.5399999999999999,0.21973738007492247,0.3612657862220582,0.40492304402819573,0.407478735597913
0.5499999999999999,0.22280574378181003,0.3678234160049668,0.4011850320223319,0.4125128638643109
0.5599999999999999,0.22598755959214553,0.3746235127714452,0.4103048973327668,0.4177331279657689
0.57,0.22908560000952727,0.3812445668740192,0.4221127567308584,0.4228159454950521
0.58,0.23218978503218257,0.387878753072523,0.42976366289775547,0.4279088442057233
0.5899999999999999,0.2354039175763015,0.39474791635007656,0.42011626808023117,0.43318212893920466
0.5999999999999999,0.23850821141723202,0.4013823351122627,0.4356714796092417,0.4382752061831945
0.6099999999999999,0.24160208816473658,0.40799449072424016,0.4365924733578669,0.4433511925639494
0.6199999999999999,0.24479960594472583,0.4148281453455519,0.44655471160877075,0.4485972181907098
0.6299999999999999,0.2478572803603495,0.421362930243875,0.467417629940081,0.4536138090109508
0.6399999999999999,0.25101283167788174,0.42810689519656187,0.4762837286162976,0.45879098212377317
0.6499999999999999,0.25413867403372487,0.43478736690314024,0.4664347254372566,0.46391941306060486
0.6599999999999999,0.25722720572998503,0.44138809920596017,0.4718012025502758,0.46898663005281094
0.6699999999999999,0.2604109602533417,0.4481923393411727,0.480744064956921,0.4742100749147499
0.6799999999999999,0.2635495150674049,0.45489997979389774,0.4833768984104256,0.4793593626180456
0.69,0.2666343133431509,0.46149273312424405,0.5030216224214247,0.4844204543527737
0.6999999999999998,0.2698098409799482,0.4682793909643065,0.47593709080421476,0.48963040172675837
0.7099999999999999,0.27293663972878773,0.47493108685868585,0.5204437013917441,0.4947367421927378
0.7199999999999999,0.2773335086025769,0.4817744742773989,0.47145305619970335,0.4999902394444803
0.7299999999999999,0.2803744214387531,0.4884608986830019,0.5198412083676061,0.5051232401193748
0.7399999999999999,0.28360751462467937,0.49496888993118404,0.5150189216589596,0.5101192621249678
0.7499999999999999,0.28690186669839035,0.501652640882993,0.5205021779117517,0.5152502104562933
0.7599999999999999,0.2900247797159193,0.5085193690471709,0.5412844374377822,0.5205216258141798
0.7699999999999999,0.2930537273229311,0.5151794840500998,0.5541859924640717,0.5256344294190876
0.7799999999999999,0.29642268097112673,0.5216091811989311,0.5342110699870279,0.5305703470040769
0.7899999999999999,0.2973360782132964,0.5286189488514068,0.5625695647933017,0.5359515701972773
0.7999999999999999,0.30017901642016054,0.5349623762376238,0.5756182400956145,0.540821260644583
0.8099999999999998,0.30328766414068625,0.5418986793330872,0.5630794593455783,0.5461460869359641
0.8199999999999998,0.3062761354675862,0.5485668337137241,0.5868220802827505,0.5512650621699365
0.8299999999999998,0.3093390703657544,0.5554011381204566,0.5935581894393861,0.5565115866207022
0.8399999999999999,0.31226747635859137,0.5619352691571677,0.5997854420258916,0.561527675487748
0.8499999999999999,0.31526560630363865,0.5686249747423722,0.6014462053411187,0.5666631950421043
0.8599999999999999,0.3183359803437474,0.5754758780525212,0.5996364810935525,0.5719224620556019
0.8699999999999999,0.32142890134353985,0.5819869193185636,0.6239412553736435,0.5769208254835735
0.8799999999999999,0.3244986307446603,0.5886469808952726,0.6246599218694256,0.5820335880745091
0.8899999999999999,0.3275525810389159,0.5954612380205072,0.6432928316687522,0.5872647227289927
0.8999999999999999,0.3309222867036734,0.6018928625535821,0.6384622250881732,0.5922021199186293
0.9099999999999999,0.33420094185091453,0.6090190986311745,0.6454373098714445,0.597672753006934
0.9199999999999998,0.33721690326047815,0.615748591433729,0.6386958106150974,0.6028388162122944
0.9299999999999998,0.33974505590093895,0.6220492746949113,0.6595747678414123,0.6076756930645691
0.9399999999999998,0.34201711200468615,0.6290714678241107,0.6472212243639378,0.6130664549852777
0.9499999999999998,0.34489786348958323,0.6356492113089636,0.6791867828053988,0.6181160240372721
0.9599999999999999,0.34783949540931963,0.6423659657031985,0.6667075240095967,0.6232723082853702
0.9699999999999999,0.34828821669173987,0.6492261847543978,0.6392159715192423,0.6285387267601266
0.9799999999999999,0.35095958034438157,0.6555911473500291,0.6945742486376452,0.6334249492487375
0.9899999999999999,0.3536838422871746,0.6620821488089402,0.6849665784938107,0.6384079286183111
0.9999999999999999,0.3545250105257439,0.6687029702970296,0.6630677450461095,0.643490567575276
