p,prot_overhead,nonprot_overhead,rand_overhead,r2n_overhead
0.01020408163265306,0.05091288676147943,0.05003231292517007,0.9613496540030629,0.5404200365692414
0.02,0.08144814274863817,0.09806333333333334,0.9647566182887772,0.5404481998345475
0.03,0.10264052154868011,0.14709647096470965,0.9639768663912582,0.5404769506970563
0.039999999999999994,0.12870256368949134,0.19612666666666667,0.965205784955444,0.5405056998345475
0.049999999999999996,0.15252161902049288,0.24515833333333334,0.9720197432887773,0.5405344498345476
0.06,0.17272428734948012,0.29420176807072285,0.9744192783951815,0.5405632067348235
0.06999999999999999,0.19227359641375197,0.34323882860809707,0.9707906994928375,0.5405919598975507
0.07999999999999999,0.2100886248584947,0.39225333333333334,0.9666766182887773,0.5406206998345475
0.09,0.22185627810568256,0.441289412894129,0.9669112707353017,0.5406494524220734
0.09999999999999999,0.2381328343154045,0.4903166666666667,0.9753707849554439,0.5406781998345476
0.10999999999999999,0.24858957669687415,0.5394022735606895,0.9731095959198738,0.5407069814627105
0.11999999999999998,0.2620810362370084,0.5884035361414457,0.9710903952398553,0.5407357136350995
0.12999999999999998,0.26735839260643657,0.6374371641532328,0.9884169216342444,0.5407644647851455
0.13999999999999999,0.2807210515034912,0.6865257164193037,0.9927901364442894,0.5407932481403442
0.14999999999999997,0.28927262991313213,0.7355485548554856,1.0078453611630647,0.5408219929638605
0.15999999999999998,0.29886931719446946,0.7845066666666667,0.9930699516221106,0.5408506998345476
0.16999999999999998,0.305843222778983,0.8335883486342515,0.9715712709012673,0.5408794791613072
0.17999999999999997,0.3169050929141563,0.8826582658265827,0.9846849201189602,0.5409082515897231
0.18999999999999997,0.32571707273952927,0.9316296155551334,0.9699119156476981,0.5409369662225392
0.19999999999999998,0.3334671429469875,0.9806333333333334,0.9948332849554439,0.5409656998345476
0.20999999999999996,0.33676263954869434,1.0298606735279703,0.9806144933850456,0.5409945645688471
0.21999999999999997,0.34318392114917085,1.078804547121379,0.9869526468916375,0.5410232630908732
0.22999999999999998,0.34912956071423,1.1279426424353962,1.0449387983363196,0.5410520754959233
0.23999999999999996,0.35611808452180715,1.176948311729877,1.004252031954964,0.5410808102522143
0.24999999999999997,0.3653853224809633,1.2257916666666668,1.020958284955444,0.5411094498345476
0.25999999999999995,0.36877530480598636,1.2748743283064656,0.9872197904156623,0.5411382297357435
0.26999999999999996,0.3792501474963852,1.3241065802502476,1.0037257595256124,0.5411670973500755
0.27999999999999997,0.3852236357891069,1.3730514328386074,0.9742349931604285,0.5411957964461409
0.29,0.3932006601216321,1.4220320959010055,0.9987845127203318,0.541224516539884
0.29999999999999993,0.4014922482204971,1.4710971097109713,1.0461335649834467,0.5412532860931734
0.30999999999999994,0.4074808350428729,1.5203617571059433,1.0660723030432993,0.5412821727027646
0.31999999999999995,0.41124471374802857,1.5690133333333334,1.0280999516221108,0.5413106998345476
0.32999999999999996,0.41550134389944754,1.6182068206820683,0.9743357602029687,0.541339544719036
0.33999999999999997,0.41688976321163235,1.667176697268503,1.0823789610293417,0.5413682584880668
0.35,0.4187878404798009,1.7161941430404855,1.0204217227106651,0.5413970001495633
0.35999999999999993,0.4240780195151981,1.7656343776257353,1.0095213176045856,0.5414259897157143
0.36999999999999994,0.4320023604650073,1.814643473969899,0.9833237241362976,0.5414547264814757
0.37999999999999995,0.4396386304698701,1.8636133282655518,0.9946825818007499,0.5414834402374362
0.38999999999999996,0.4433467125084527,1.9123114924596984,1.057446974503026,0.5415119946863417
0.39999999999999997,0.4497887748783296,1.9612666666666667,0.9991999516221105,0.5415406998345476
0.4099999999999999,0.4541680597872324,2.0103184365176987,1.0402155454447155,0.5415694616221655
